,algorithm,dataset_name,insertion,deletion
49,baseline,FMNIST nonoverlaping imbalanced,0.6620741600644106,0.3533143283152689
50,briggs,FMNIST nonoverlaping imbalanced,0.6295812921597924,0.3410341407198791
51,sattler,FMNIST nonoverlaping imbalanced,0.874763212446922,0.6273438895343755
52,kmeans,FMNIST nonoverlaping imbalanced,0.8349144588931198,0.7252500699461216
53,affinity,FMNIST nonoverlaping imbalanced,0.7452029475700872,0.6680500208944221
54,meanshift,FMNIST nonoverlaping imbalanced,0.8667267653456053,0.7274074381371819
55,HDBSCAN,FMNIST nonoverlaping imbalanced,0.8318703956141663,0.6338361056758781
56,baseline,CIFAR10 overlaping balanced,0.432898755143936,0.2166320079414157
57,briggs,CIFAR10 overlaping balanced,0.5103378003076678,0.3254517201473565
58,sattler,CIFAR10 overlaping balanced,0.3977778279432185,0.2210741454277143
59,kmeans,CIFAR10 overlaping balanced,0.500752333881259,0.3142924407981231
60,affinity,CIFAR10 overlaping balanced,0.4299425910595844,0.2627563947259422
61,meanshift,CIFAR10 overlaping balanced,0.4589642707462023,0.2558810762739298
62,HDBSCAN,CIFAR10 overlaping balanced,0.4894863652715886,0.30235482648138295
63,baseline,CIFAR10 overlaping imbalanced,0.4313089629672717,0.2792870779070295
64,briggs,CIFAR10 overlaping imbalanced,0.6004542777408006,0.4420270142836658
65,sattler,CIFAR10 overlaping imbalanced,0.4353106308670451,0.2615436195948627
66,kmeans,CIFAR10 overlaping imbalanced,0.5612195750672994,0.3887584012880199
67,affinity,CIFAR10 overlaping imbalanced,0.545867730102517,0.39555874433083765
68,meanshift,CIFAR10 overlaping imbalanced,0.5354887139721006,0.3910425353235836
69,HDBSCAN,CIFAR10 overlaping imbalanced,0.5683133848646039,0.4475770503055563
70,baseline,CIFAR10 nonoverlaping balanced,0.3781923117821165,0.2405496488780536
71,briggs,CIFAR10 nonoverlaping balanced,0.6391072320054634,0.46947790043349275
72,sattler,CIFAR10 nonoverlaping balanced,0.3321505543283448,0.215603926205123
73,kmeans,CIFAR10 nonoverlaping balanced,0.5421046769692708,0.3931766792270303
74,affinity,CIFAR10 nonoverlaping balanced,0.3311496798861497,0.2347213360547663
75,meanshift,CIFAR10 nonoverlaping balanced,0.607884520418173,0.4715945210213954
76,HDBSCAN,CIFAR10 nonoverlaping balanced,0.6056056081095967,0.4536232202445813
77,baseline,CIFAR10 nonoverlaping imbalanced,0.4399823610851815,0.2669156285869627
78,briggs,CIFAR10 nonoverlaping imbalanced,0.7166477650853899,0.5395749472396639
79,sattler,CIFAR10 nonoverlaping imbalanced,0.4618109861946438,0.2855243377427192
80,kmeans,CIFAR10 nonoverlaping imbalanced,0.6221683831371316,0.5116438918816332
81,affinity,CIFAR10 nonoverlaping imbalanced,0.4282668307909449,0.2714982083458478
82,meanshift,CIFAR10 nonoverlaping imbalanced,0.6384289266115843,0.49428754201782565
83,HDBSCAN,CIFAR10 nonoverlaping imbalanced,0.6945474082732889,0.5848638104950306
84,baseline,PATHMNIST overlaping balanced,0.1768898754269438,0.1539439598566801
85,briggs,PATHMNIST overlaping balanced,0.21276815849837238,0.17923124629567708
86,sattler,PATHMNIST overlaping balanced,0.1367459718551729,0.1301073604432229
87,kmeans,PATHMNIST overlaping balanced,0.23400757211131815,0.19556949947875665
88,affinity,PATHMNIST overlaping balanced,0.17467218189191824,0.13851768471269021
89,meanshift,PATHMNIST overlaping balanced,0.23513251095966342,0.17821581071728015
90,HDBSCAN,PATHMNIST overlaping balanced,0.2538241741644499,0.20511057345629657
91,baseline,PATHMNIST overlaping imbalanced,0.1986466202135916,0.2006013554676495
92,briggs,PATHMNIST overlaping imbalanced,0.44345982796599065,0.411318570937229
93,sattler,PATHMNIST overlaping imbalanced,0.265748222430115,0.2626078701309152
94,kmeans,PATHMNIST overlaping imbalanced,0.4460122350455958,0.42053212562316533
95,affinity,PATHMNIST overlaping imbalanced,0.5011167450007464,0.49782162598378477
96,meanshift,PATHMNIST overlaping imbalanced,0.3867760342864857,0.361943398132206
97,HDBSCAN,PATHMNIST overlaping imbalanced,0.45372914331596115,0.4033275162230489
98,baseline,PATHMNIST nonoverlaping balanced,0.0917190761047861,0.0933397258564787
99,briggs,PATHMNIST nonoverlaping balanced,0.3579878533498947,0.3303642163542229
100,sattler,PATHMNIST nonoverlaping balanced,0.1406322690895964,0.1015113856458387
101,kmeans,PATHMNIST nonoverlaping balanced,0.40894696016060356,0.3528863565025839
102,affinity,PATHMNIST nonoverlaping balanced,0.22470957285971593,0.19638003396584242
103,meanshift,PATHMNIST nonoverlaping balanced,0.34657103799408534,0.30747397699658296
104,HDBSCAN,PATHMNIST nonoverlaping balanced,0.3725143896341272,0.3252807810049328
105,baseline,PATHMNIST nonoverlaping imbalanced,0.1172530601302089,0.1010991332508805
106,briggs,PATHMNIST nonoverlaping imbalanced,0.5485118871447465,0.5304204332754562
107,sattler,PATHMNIST nonoverlaping imbalanced,0.4971068119257989,0.4854593720933991
108,kmeans,PATHMNIST nonoverlaping imbalanced,0.6064569496221227,0.5653181317725317
109,affinity,PATHMNIST nonoverlaping imbalanced,0.34379520932730623,0.3404363129727724
110,meanshift,PATHMNIST nonoverlaping imbalanced,0.3268363318832084,0.2830302623650185
111,HDBSCAN,PATHMNIST nonoverlaping imbalanced,0.6059104665977794,0.584991483837102
112,baseline,BLOODMNIST overlaping balanced,0.0608589571504503,0.0510087652903261
113,briggs,BLOODMNIST overlaping balanced,0.12467352632685881,0.10736384214169134
114,sattler,BLOODMNIST overlaping balanced,0.0937268275562335,0.0641210921394428
115,kmeans,BLOODMNIST overlaping balanced,0.14932918436896844,0.1261321926085918
116,affinity,BLOODMNIST overlaping balanced,0.11045585606869585,0.09046318174790045
117,meanshift,BLOODMNIST overlaping balanced,0.14881388628879227,0.11544237315901525
118,HDBSCAN,BLOODMNIST overlaping balanced,0.11261857802938609,0.08704564226636634
119,baseline,BLOODMNIST overlaping imbalanced,0.2301797968981743,0.1396321410731858
120,briggs,BLOODMNIST overlaping imbalanced,0.297411485242536,0.27526684538047813
121,sattler,BLOODMNIST overlaping imbalanced,0.1931366749179754,0.1012926081315987
122,kmeans,BLOODMNIST overlaping imbalanced,0.40401144959673774,0.3974961282831382
123,affinity,BLOODMNIST overlaping imbalanced,0.22520240789760826,0.2147972811452211
124,meanshift,BLOODMNIST overlaping imbalanced,0.30427000702296864,0.2792791864582601
125,HDBSCAN,BLOODMNIST overlaping imbalanced,0.17518230584515385,0.14172867719037763
126,baseline,BLOODMNIST nonoverlaping balanced,0.0901145374192351,0.0754635481529367
127,briggs,BLOODMNIST nonoverlaping balanced,0.3423565115036196,0.32254928145730793
128,sattler,BLOODMNIST nonoverlaping balanced,0.0591736695440829,0.0528959239714593
129,kmeans,BLOODMNIST nonoverlaping balanced,0.34768784604329506,0.3395889092909478
130,affinity,BLOODMNIST nonoverlaping balanced,0.35430569938968104,0.3324332127899265
131,meanshift,BLOODMNIST nonoverlaping balanced,0.33287328437474206,0.3214611140192979
132,HDBSCAN,BLOODMNIST nonoverlaping balanced,0.3625093442039546,0.35019656304016045
133,baseline,BLOODMNIST nonoverlaping imbalanced,0.1605978723135532,0.1577003960072781
134,briggs,BLOODMNIST nonoverlaping imbalanced,0.4218797763101675,0.40885631422882435
135,sattler,BLOODMNIST nonoverlaping imbalanced,0.1162837331261742,0.1105904615053754
136,kmeans,BLOODMNIST nonoverlaping imbalanced,0.5143661991142782,0.5012569081603454
137,affinity,BLOODMNIST nonoverlaping imbalanced,0.0849794687410558,0.0663955863400575
138,meanshift,BLOODMNIST nonoverlaping imbalanced,0.519882958504411,0.5139362307841148
139,HDBSCAN,BLOODMNIST nonoverlaping imbalanced,0.5104898904286878,0.49659753624399544
