,algorithm,dataset_name,insertion,deletion
36,briggs,FMNIST overlaping imbalanced,,
37,sattler,FMNIST overlaping imbalanced,0.5962609510989245,0.44818565714021236
38,kmeans,FMNIST overlaping imbalanced,0.6592883053544547,0.49191702687077976
39,affinity,FMNIST overlaping imbalanced,0.6158975828329418,0.5338054204117881
40,meanshift,FMNIST overlaping imbalanced,0.6896861064139571,0.561502774388838
41,HDBSCAN,FMNIST overlaping imbalanced,0.7052912314623279,0.44013407852938524
42,baseline,FMNIST nonoverlaping balanced,,
43,briggs,FMNIST nonoverlaping balanced,0.5906649941022322,0.3824993641543504
44,sattler,FMNIST nonoverlaping balanced,0.5686352795389762,0.4190254516739298
45,kmeans,FMNIST nonoverlaping balanced,0.5891990183278174,0.35493027026453233
46,affinity,FMNIST nonoverlaping balanced,0.5185684890642324,0.5990723514585246
47,meanshift,FMNIST nonoverlaping balanced,0.5682052395024165,0.3520637229667321
48,HDBSCAN,FMNIST nonoverlaping balanced,0.5652620226468552,0.4077524488650583
49,baseline,FMNIST nonoverlaping imbalanced,,
50,briggs,FMNIST nonoverlaping imbalanced,,
51,sattler,FMNIST nonoverlaping imbalanced,0.7225871626570068,0.6050772784531472
52,kmeans,FMNIST nonoverlaping imbalanced,0.7429202742982163,0.560280077934086
53,affinity,FMNIST nonoverlaping imbalanced,0.718715981024403,0.6389175403726524
54,meanshift,FMNIST nonoverlaping imbalanced,0.765739318815962,0.6062204528120718
55,HDBSCAN,FMNIST nonoverlaping imbalanced,0.7823998608869345,0.5314755723488249
56,baseline,CIFAR10 overlaping balanced,,
57,briggs,CIFAR10 overlaping balanced,0.4159129615524501,0.2594290986441826
58,sattler,CIFAR10 overlaping balanced,,
59,kmeans,CIFAR10 overlaping balanced,0.4666302387366619,0.32959081098640003
60,affinity,CIFAR10 overlaping balanced,0.40012176698816965,0.20938039265979422
61,meanshift,CIFAR10 overlaping balanced,,
62,HDBSCAN,CIFAR10 overlaping balanced,0.48097175859307195,0.3300425141198211
63,baseline,CIFAR10 overlaping imbalanced,,
64,briggs,CIFAR10 overlaping imbalanced,0.4010152461977927,0.2485606832341212
65,sattler,CIFAR10 overlaping imbalanced,,
66,kmeans,CIFAR10 overlaping imbalanced,0.5411808339337592,0.36906281121543333
67,affinity,CIFAR10 overlaping imbalanced,0.5376414795283597,0.38288621540957835
68,meanshift,CIFAR10 overlaping imbalanced,0.49387548324002095,0.33340683621925665
69,HDBSCAN,CIFAR10 overlaping imbalanced,0.5526510775540239,0.3983996687740901
70,baseline,CIFAR10 nonoverlaping balanced,,
71,briggs,CIFAR10 nonoverlaping balanced,0.29893275672542924,0.23007528563649016
72,sattler,CIFAR10 nonoverlaping balanced,,
73,kmeans,CIFAR10 nonoverlaping balanced,0.4439254436195996,0.35154358127656793
74,affinity,CIFAR10 nonoverlaping balanced,,
75,meanshift,CIFAR10 nonoverlaping balanced,0.4002255181420439,0.35880774529724835
76,HDBSCAN,CIFAR10 nonoverlaping balanced,0.3794926905286786,0.2995095550882874
77,baseline,CIFAR10 nonoverlaping imbalanced,,
78,briggs,CIFAR10 nonoverlaping imbalanced,0.47319612054295507,0.363530089966766
79,sattler,CIFAR10 nonoverlaping imbalanced,,
80,kmeans,CIFAR10 nonoverlaping imbalanced,0.5493639698710848,0.4483868398255577
81,affinity,CIFAR10 nonoverlaping imbalanced,,
82,meanshift,CIFAR10 nonoverlaping imbalanced,0.460381476404112,0.3821138706225757
83,HDBSCAN,CIFAR10 nonoverlaping imbalanced,0.6063627634326422,0.5228443998966164
84,baseline,PATHMNIST overlaping balanced,,
85,briggs,PATHMNIST overlaping balanced,0.13177810156954345,0.11499178733441848
86,sattler,PATHMNIST overlaping balanced,,
87,kmeans,PATHMNIST overlaping balanced,0.19627134558810608,0.16526936953991309
88,affinity,PATHMNIST overlaping balanced,0.1546808936178499,0.12121239880726234
89,meanshift,PATHMNIST overlaping balanced,0.18944134273457708,0.15133082185740346
90,HDBSCAN,PATHMNIST overlaping balanced,0.16000043816013915,0.12050320811438876
91,baseline,PATHMNIST overlaping imbalanced,,
92,briggs,PATHMNIST overlaping imbalanced,0.19815241689933533,0.21495581416103535
93,sattler,PATHMNIST overlaping imbalanced,,
94,kmeans,PATHMNIST overlaping imbalanced,0.2203349242696833,0.19609332124735246
95,affinity,PATHMNIST overlaping imbalanced,0.49501564211767357,0.497017630720938
96,meanshift,PATHMNIST overlaping imbalanced,0.18343780560743608,0.16322264276376933
97,HDBSCAN,PATHMNIST overlaping imbalanced,0.3427466911583312,0.3488024325912285
98,baseline,PATHMNIST nonoverlaping balanced,,
99,briggs,PATHMNIST nonoverlaping balanced,0.13356555835831999,0.12781751550618953
100,sattler,PATHMNIST nonoverlaping balanced,,
101,kmeans,PATHMNIST nonoverlaping balanced,0.1674726484717137,0.15891676025129442
102,affinity,PATHMNIST nonoverlaping balanced,0.23095404438904,0.20162803569441368
103,meanshift,PATHMNIST nonoverlaping balanced,0.06801884905626158,0.06267592903722939
104,HDBSCAN,PATHMNIST nonoverlaping balanced,0.2854982112152235,0.2942740357195876
105,baseline,PATHMNIST nonoverlaping imbalanced,,
106,briggs,PATHMNIST nonoverlaping imbalanced,0.407210906627479,0.3567364928415388
107,sattler,PATHMNIST nonoverlaping imbalanced,,
108,kmeans,PATHMNIST nonoverlaping imbalanced,0.49948690638766663,0.5302533447762422
109,affinity,PATHMNIST nonoverlaping imbalanced,0.33561098466265304,0.3315413264510577
110,meanshift,PATHMNIST nonoverlaping imbalanced,0.32132995682834586,0.2800664087187213
111,HDBSCAN,PATHMNIST nonoverlaping imbalanced,0.42507071427298304,0.4264374563341635
112,baseline,BLOODMNIST overlaping balanced,,
113,briggs,BLOODMNIST overlaping balanced,0.08546561712439109,0.07580365099995437
114,sattler,BLOODMNIST overlaping balanced,,
115,kmeans,BLOODMNIST overlaping balanced,0.18368311093017617,0.16105300891755084
116,affinity,BLOODMNIST overlaping balanced,0.0903632447373666,0.07003944416679975
117,meanshift,BLOODMNIST overlaping balanced,0.12235225426825341,0.10906520910244955
118,HDBSCAN,BLOODMNIST overlaping balanced,0.13966333038499737,0.12950213114799222
119,baseline,BLOODMNIST overlaping imbalanced,,
120,briggs,BLOODMNIST overlaping imbalanced,0.28335696809637295,0.20693937381076197
121,sattler,BLOODMNIST overlaping imbalanced,,
122,kmeans,BLOODMNIST overlaping imbalanced,0.0554500022859444,0.043474247816542404
123,affinity,BLOODMNIST overlaping imbalanced,0.23072313179671688,0.2211271764975629
124,meanshift,BLOODMNIST overlaping imbalanced,0.15645327242629817,0.1422446824600529
125,HDBSCAN,BLOODMNIST overlaping imbalanced,0.11287745602901895,0.09748159102875191
126,baseline,BLOODMNIST nonoverlaping balanced,,
127,briggs,BLOODMNIST nonoverlaping balanced,0.050189929015660766,0.04454848036124278
128,sattler,BLOODMNIST nonoverlaping balanced,,
129,kmeans,BLOODMNIST nonoverlaping balanced,0.0628333184365598,0.06396345929703821
130,affinity,BLOODMNIST nonoverlaping balanced,0.3374078964587093,0.319573254833018
131,meanshift,BLOODMNIST nonoverlaping balanced,0.05431907397435069,0.05107216584589406
132,HDBSCAN,BLOODMNIST nonoverlaping balanced,0.1375911055248548,0.13866765492397978
133,baseline,BLOODMNIST nonoverlaping imbalanced,,
134,briggs,BLOODMNIST nonoverlaping imbalanced,0.038625669551134445,0.033388098754545556
135,sattler,BLOODMNIST nonoverlaping imbalanced,,
136,kmeans,BLOODMNIST nonoverlaping imbalanced,0.09944492340019413,0.09126569235923014
137,affinity,BLOODMNIST nonoverlaping imbalanced,0.10305393246481184,0.0839306861018513
138,meanshift,BLOODMNIST nonoverlaping imbalanced,0.08358658000323349,0.0819470210158951
139,HDBSCAN,BLOODMNIST nonoverlaping imbalanced,0.10083979029692797,0.09422232237243254
